Географска хијерархија - Округ,Географска хијерархија - Општина,Географска хијерархија - Основна школа,Школска година,Број ученика,Просек 6. разред,Просек 7. разред,Просек 8. разред,Просечан број бодова из ОШ,Просек бодова - Матерњи језик,Просек поена - Матерњи језик,Просек станд. скор - Матерњи језик,Просек бодова - Математика,Просек поена - Математика,Просек станд. скор - Математика,Просек бодова - Трећи тест,Просек поена - Трећи тест,Просек станд. скор - Трећи тест,Просек - завршни испит,Укупан просечан број поена
Јужнобачки управни округ,Тител,"ОШ ""Исидора Секулић"", Шајкаш",2022/23,73,4.03,3.92,3.93,47.54,7.87,10.93,508,8.19,11.26,488,7.60,12.59,463,23.66,81.95
Јужнобачки управни округ,Тител,"ОШ ""Светозар Милетић"", Тител",2022/23,61,3.78,3.65,3.69,44.46,5.47,7.81,432,5.78,8.26,416,7.68,12.80,464,18.93,67.73
Јужнобачки управни округ,Жабаљ,"ОШ ""Ђура Јакшић"", Чуруг",2022/23,74,4.06,3.83,3.90,47.15,6.42,8.88,458,6.30,8.92,434,7.23,12.07,432,19.95,80.01
Јужнобачки управни округ,Жабаљ,"ОШ ""Жарко Зрењанин"", Госпођинци",2022/23,30,3.97,3.88,4.00,47.44,6.16,8.80,456,6.37,9.10,436,8.11,13.52,483,20.64,76.10
Јужнобачки управни округ,Жабаљ,"ОШ ""Милош Црњански"", Жабаљ",2022/23,100,4.11,3.94,3.93,47.93,7.00,10.00,484,8.00,11.43,492,8.92,14.86,522,23.91,73.86
Јужнобачки управни округ,Жабаљ,"ОШ ""Јован Јовановић Змај"", Ђурђево",2022/23,57,4.04,3.69,3.79,46.08,6.66,9.24,466,7.41,10.52,470,8.13,13.69,490,22.19,69.76
Јужнобачки управни округ,Бечеј,"ОШ ""Здравко Гложански"", Бечеј",2022/23,76,4.38,4.28,4.33,51.97,6.43,9.11,464,7.22,10.37,467,7.91,13.31,470,21.56,83.12
Јужнобачки управни округ,Бечеј,"ОШ ""Север Ђуркић"", Бечеј",2022/23,82,4.08,3.85,3.84,47.08,6.58,9.20,470,6.21,9.00,434,7.42,11.82,437,20.21,73.54
Јужнобачки управни округ,Бечеј,"ОШ ""Шаму Михаљ"", Бечеј",2022/23,44,4.12,3.96,3.97,48.19,6.54,9.25,477,6.16,8.34,420,6.69,11.27,406,19.38,70.20
Јужнобачки управни округ,Бечеј,"ОШ ""Шаму Михаљ"", Бачко Петрово Село",2022/23,39,3.96,3.95,3.84,47.02,5.96,8.29,462,5.74,8.16,415,6.95,11.42,424,18.66,69.05
Јужнобачки управни округ,Бечеј,"ОШ ""Светозар Марковић"", Бачко Градиште",2022/23,37,3.95,3.87,3.97,47.15,5.02,6.39,405,5.60,7.42,396,6.70,10.30,386,17.32,68.72
Јужнобачки управни округ,Бечеј,"ОШ ""Петефи Шандор"", Бечеј",2022/23,29,3.90,3.80,3.72,45.69,6.64,8.88,472,6.60,8.42,420,6.05,9.86,391,19.33,64.02
Јужнобачки управни округ,Бечеј,"Школа за основно и средње образовање ""Братство"", Бечеј",2022/23,9,3.88,3.99,4.12,47.97,11.24,,,9.41,,,9.47,,,30.12,
Град Београд,Стари град,"Математичка гимназија, Београд (Стари Град)",2022/23,43,4.99,4.79,4.82,58.38,11.12,15.88,622,13.56,19.37,682,11.63,19.38,604,36.31,320.11
Град Београд,Стари град,"ОШ ""Михаило Петровић Алас"", Београд (Стари Град)",2022/23,60,4.51,4.51,4.59,54.43,9.72,13.84,574,10.65,15.16,581,9.70,16.20,541,30.08,129.62
Град Београд,Стари град,"ОШ ""Браћа Барух"", Београд (Стари Град)",2022/23,61,4.43,4.22,4.24,51.61,8.90,12.62,545,9.74,13.85,550,9.34,15.53,535,27.99,117.57
Град Београд,Стари град,"ОШ ""Вук Караџић"", Београд (Стари Град)",2022/23,83,4.45,4.29,4.36,52.39,8.78,12.55,543,9.79,13.98,553,9.83,16.39,563,28.40,116.67
Град Београд,Стари град,"ОШ ""Скадарлија"", Београд (Стари Град)",2022/23,60,4.50,4.36,4.39,52.99,8.58,12.31,538,10.20,14.64,569,9.80,16.43,557,28.57,109.94
Град Београд,Стари град,"ОШ ""Дринка Павловић"", Београд (Стари Град)",2022/23,112,4.58,4.48,4.50,54.21,9.38,13.50,563,9.82,14.02,554,9.52,15.86,541,28.71,104.23
Град Београд,Стари град,"ОШ ""Краљ Петар Први"", Београд (Стари Град)",2022/23,57,4.67,4.42,4.36,53.78,9.28,13.09,556,9.57,13.45,540,9.54,15.75,536,28.40,96.08
Град Београд,Стари град,"ОШ ""Драган Ковачевић"", Београд (Стари Град)",2022/23,16,4.36,4.36,4.39,52.47,11.75,9.88,507,10.92,10.33,466,10.24,15.25,554,32.90,71.62
Град Београд,Нови Београд,"ОШ ""Иван Гундулић"", Београд (Нови Београд)",2022/23,64,4.55,4.42,4.50,53.90,9.43,13.48,565,11.16,15.95,600,9.95,16.59,563,30.55,128.59
Град Београд,Нови Београд,"ОШ ""Ратко Митровић"", Београд (Нови Београд)",2022/23,65,4.50,4.42,4.48,53.63,9.29,13.28,561,10.52,15.02,578,9.74,16.24,559,29.55,120.28
Град Београд,Нови Београд,"ОШ ""Бранко Радичевић"", Београд (Нови Београд)",2022/23,141,4.35,4.20,4.20,50.96,9.48,13.45,565,10.17,14.46,564,9.84,16.37,551,29.49,114.98
Град Београд,Нови Београд,"ОШ ""Борислав Пекић"", Београд (Нови Београд)",2022/23,142,4.43,4.32,4.43,52.76,9.24,13.20,559,10.09,14.41,563,9.56,15.93,542,28.89,112.05
Град Београд,Нови Београд,"ОШ ""Младост"", Београд (Нови Београд)",2022/23,132,4.54,4.41,4.45,53.55,9.49,13.55,567,9.72,13.89,551,9.40,15.66,535,28.60,111.49
Град Београд,Нови Београд,"ОШ ""20. октобар"", Београд (Нови Београд)",2022/23,140,4.40,4.22,4.26,51.53,9.58,13.64,569,10.14,14.49,565,9.78,16.29,544,29.51,108.85
Град Београд,Нови Београд,"ОШ ""Марко Орешковић"", Београд (Нови Београд)",2022/23,66,4.59,4.48,4.47,54.14,9.69,13.85,574,11.00,15.71,594,10.50,17.50,597,31.19,105.10
Град Београд,Нови Београд,"ОШ ""Радоје Домановић"", Београд (Нови Београд)",2022/23,98,4.69,4.62,4.61,55.68,10.02,14.31,585,11.19,15.99,601,10.24,17.07,570,31.45,102.24
Град Београд,Нови Београд,"ОШ ""Душко Радовић"", Београд (Нови Београд)",2022/23,95,4.57,4.45,4.48,54.05,9.15,13.07,556,10.58,15.12,580,9.53,15.88,543,29.26,101.48
Град Београд,Нови Београд,"ОШ ""Милан Ракић"", Београд (Нови Београд)",2022/23,100,4.18,4.17,4.19,50.13,8.68,12.43,541,8.76,12.54,518,9.09,15.16,520,26.53,98.71
Град Београд,Нови Београд,"ОШ ""Јован Стерија Поповић"", Београд (Нови Београд)",2022/23,115,4.47,4.34,4.40,52.85,9.56,13.66,569,10.00,14.29,560,9.84,16.40,552,29.40,98.30
Град Београд,Нови Београд,"ОШ ""Драган Лукић"", Београд (Нови Београд)",2022/23,178,4.33,4.27,4.33,51.70,8.68,12.32,538,9.33,13.30,537,9.14,15.21,520,27.14,97.52
Град Београд,Нови Београд,"ОШ ""Савремена"", Београд (Нови Београд)",2022/23,41,4.61,4.49,4.52,54.46,7.08,10.11,486,7.15,10.21,463,8.50,14.17,491,22.72,97.03
Град Београд,Нови Београд,"ОШ ""Краљ Александар Први"", Београд (Нови Београд)",2022/23,112,4.65,4.55,4.57,55.11,9.58,13.69,570,10.57,15.09,580,10.12,16.86,544,30.26,95.51
Град Београд,Нови Београд,"ОШ ""Кнегиња Милица"", Београд (Нови Београд)",2022/23,131,4.58,4.49,4.53,54.43,8.51,12.16,534,9.93,14.18,558,9.58,15.97,536,28.02,95.34
Град Београд,Нови Београд,"ОШ ""Јован Дучић"", Београд (Нови Београд)",2022/23,61,4.39,4.25,4.32,51.88,9.01,12.98,553,9.66,14.11,555,10.11,16.86,565,28.79,94.70
Град Београд,Нови Београд,"ОШ ""Лаза Костић"", Београд (Нови Београд)",2022/23,146,4.57,4.39,4.41,53.47,8.98,12.78,550,10.36,14.77,573,9.67,16.13,545,29.02,94.68
Град Београд,Нови Београд,"ОШ ""Ђуро Стругар"", Београд (Нови Београд)",2022/23,41,4.67,4.60,4.59,55.45,9.91,14.16,581,10.89,15.56,591,10.08,16.79,562,30.88,91.00
Град Београд,Нови Београд,"ОШ ""Надежда Петровић"", Београд (Нови Београд)",2022/23,46,4.18,4.01,3.96,48.63,6.92,9.88,481,8.04,11.49,493,8.20,13.66,480,23.16,88.62
Град Београд,Нови Београд,"ОШ ""Влада Обрадовић Камени"", Београд (Нови Београд)",2022/23,33,3.68,3.52,3.59,43.17,4.13,5.66,382,4.78,6.62,377,6.76,11.02,406,15.67,73.88
Град Београд,Нови Београд,"Основна школа ""Нови Београд"", Београд (Нови Београд)",2022/23,13,4.32,4.45,4.56,53.35,12.30,,,12.98,,,11.08,,,36.36,
Град Београд,Врачар,"Огледна основна школа ""Владислав Рибникар"", Београд (Врачар)",2022/23,146,4.74,4.62,4.72,56.29,9.51,13.60,567,10.36,14.81,572,9.78,16.33,537,29.65,105.93
Град Београд,Врачар,"ОШ ""Светозар Марковић"", Београд (Врачар)",2022/23,84,4.58,4.41,4.36,53.40,9.35,13.33,562,10.00,14.23,559,9.79,16.30,550,29.15,105.01
Град Београд,Врачар,"ОШ ""Јован Миодраговић"", Београд (Врачар)",2022/23,130,4.59,4.44,4.49,54.07,9.57,13.67,570,10.24,14.63,568,10.14,16.90,555,29.95,102.24
Град Београд,Врачар,"ОШ ""Свети Сава"", Београд (Врачар)",2022/23,112,4.64,4.57,4.63,55.33,9.50,13.51,566,9.35,13.30,537,9.63,16.02,543,28.48,97.67
Град Београд,Врачар,"ОШ ""Краљ Петар II Карађорђевић"", Београд (Врачар)",2022/23,83,4.44,4.30,4.31,52.20,8.76,12.58,543,9.21,13.18,533,9.20,15.38,524,27.17,93.60
Град Београд,Врачар,"ОШ ""Владислав Петковић Дис"", Београд (Врачар)",2022/23,19,4.83,4.67,4.71,56.85,7.16,10.22,489,8.83,12.61,520,8.72,14.53,490,24.70,85.74
Град Београд,Врачар,"ОШ ""Народни херој Синиша Николајевић"", Београд (Врачар)",2022/23,73,4.47,4.29,4.39,52.60,9.17,13.01,554,9.31,13.29,534,9.77,16.24,549,28.25,84.59
Град Београд,Врачар,"ОШ ""Народни херој Душан Дугалић"", Београд (Врачар)",2022/23,9,4.14,4.15,4.18,49.87,9.10,,,9.64,,,8.07,,,26.81,
Град Београд,Раковица,"ОШ ""Бранко Ћопић"", Београд (Раковица)",2022/23,162,4.35,4.14,4.19,50.74,9.12,13.02,554,9.76,13.93,552,9.69,16.13,547,28.56,105.08
Град Београд,Раковица,"ОШ ""Никола Тесла"", Београд (Раковица)",2022/23,158,4.41,4.36,4.29,52.23,8.35,11.93,530,8.89,12.68,522,9.11,15.20,521,26.35,100.92
Град Београд,Раковица,"ОШ ""14. октобар"", Београд (Раковица)",2022/23,135,4.45,4.27,4.32,52.15,8.01,11.45,518,9.23,13.28,536,9.00,14.95,516,26.25,99.54
Град Београд,Раковица,"ОШ ""Иво Андрић"", Београд (Раковица)",2022/23,161,4.49,4.42,4.42,53.35,8.87,12.60,545,10.14,14.42,564,9.71,16.11,542,28.73,96.70
Град Београд,Раковица,"ОШ ""Франце Прешерн"", Београд (Раковица)",2022/23,74,4.33,4.21,4.24,51.09,9.05,12.83,550,10.06,14.24,559,10.16,16.84,569,29.26,94.80
Град Београд,Раковица,"ОШ ""Ђура Јакшић"", Београд (Раковица)",2022/23,74,4.37,4.25,4.33,51.80,8.43,12.02,531,9.08,12.92,528,9.15,15.25,533,26.66,94.08
Град Београд,Раковица,"ОШ ""Коста Абрашевић"", Београд (Раковица)",2022/23,139,4.27,4.06,4.12,49.81,8.32,11.72,524,8.58,12.10,508,8.12,13.46,481,25.02,89.93
Град Београд,Раковица,"ОШ ""Владимир Роловић"", Београд (Раковица)",2022/23,75,4.35,4.18,4.16,50.78,7.88,11.16,511,8.71,12.34,514,8.32,13.87,489,24.91,89.88
Град Београд,Савски венац,"ОШ ""Радојка Лакић"", Београд (Савски Венац)",2022/23,35,4.49,4.42,4.41,53.25,10.23,14.46,588,11.73,16.69,618,10.28,17.04,573,32.24,112.35
Град Београд,Савски венац,"ОШ ""Петар Петровић Његош"", Београд (Савски Венац)",2022/23,60,4.49,4.36,4.37,52.91,9.55,13.60,569,9.64,13.71,548,9.81,16.36,556,29.00,111.52
Град Београд,Савски венац,"ОШ ""Стефан Немања"", Београд (Савски Венац)",2022/23,44,4.49,4.42,4.40,53.24,8.72,12.45,541,10.21,14.59,568,9.62,16.03,536,28.55,96.63
Град Београд,Савски венац,"ОШ ""Војвода Мишић"", Београд (Савски Венац)",2022/23,49,4.21,4.23,4.21,50.57,8.14,11.62,522,9.43,13.47,541,9.35,15.58,535,26.91,92.34
Град Београд,Савски венац,"ОШ ""Војвода Радомир Путник"", Београд (Савски Венац)",2022/23,85,4.51,4.45,4.42,53.52,9.55,13.57,567,10.94,15.57,591,10.52,17.50,586,31.01,90.30
Град Београд,Савски венац,"ОШ ""Креативно перо"", Београд (Савски Венац)",2022/23,12,4.88,4.81,4.79,57.91,8.84,12.00,530,8.93,12.27,512,8.95,14.45,499,26.71,89.80
Град Београд,Савски венац,"ОШ ""Др Драган Херцог"", Београд (Савски Венац)",2022/23,21,4.27,4.27,4.56,52.38,10.47,13.79,579,10.90,15.14,585,10.20,17.57,596,31.57,83.25
Град Београд,Савски венац,"ОШ ""Исидора Секулић"", Београд (Савски Венац)",2022/23,38,4.48,4.32,4.41,52.86,9.13,12.85,550,9.62,13.57,543,10.41,17.27,597,29.15,82.99
Град Београд,Савски венац,"ОШ ""Монтесори"", Београд (Савски Венац)",2022/23,3,4.67,4.69,4.93,57.16,8.98,9.25,466,10.85,13.50,542,10.40,17.00,582,30.23,78.52
Град Београд,Савски венац,"Школа за основно образовање одраслих ""Ђуро Салај"", Београд (Савски Венац)",2022/23,135,2.76,2.82,3.14,34.89,6.81,,,4.38,,,5.68,,,16.85,73.84
Град Београд,Савски венац,"ОШ ""Антон Скала"", Београд (Савски Венац)",2022/23,9,4.99,5.00,5.00,59.97,14.00,,,14.00,,,11.87,,,39.87,
Град Београд,Савски венац,"Школа за оштећене слухом-наглуве ""Стефан Дечански"", Београд (Савски Венац)",2022/23,7,4.28,4.27,4.45,51.97,13.50,,,9.55,,,11.19,,,34.24,
Град Београд,Звездара,"ОШ ""Марија Бурсаћ"", Београд (Звездара)",2022/23,53,4.35,4.24,4.25,51.37,8.83,12.48,542,9.00,12.77,524,9.38,15.59,535,27.21,118.99
Град Београд,Звездара,"ОШ ""Јелена Ћетковић"", Београд (Звездара)",2022/23,121,4.56,4.35,4.37,53.13,9.51,13.59,568,10.55,15.08,579,10.01,16.68,557,30.07,107.54
Град Београд,Звездара,"ОШ ""Ћирило и Методије"", Београд (Звездара)",2022/23,102,4.35,4.20,4.22,51.11,8.53,12.07,532,9.60,13.61,544,9.64,15.98,544,27.78,107.26
Град Београд,Звездара,"ОШ ""1300 каплара"", Београд (Звездара)",2022/23,58,4.26,4.13,4.10,49.96,8.36,11.52,519,9.03,12.99,529,9.57,15.97,559,26.97,102.89
Град Београд,Звездара,"ОШ ""Вељко Дугошевић"", Београд (Звездара)",2022/23,105,4.39,4.20,4.22,51.21,8.27,11.74,524,9.62,13.68,546,9.45,15.72,540,27.34,101.84
